./init-sources/watermelon_watermelon_04.jpg has [0.034, 0.0, 0.043, 0.184, 0.498, 0.59, 0.768, 1.124, 0.233, 0.977, 1.151, 0.606, 0.001, 0.136, 0.803, 0.165, 0.0, 0.0, 0.046, 0.161, 0.351, 0.715, 1.002, 1.39, 0.216, 1.31, 1.525, 0.72, 0.0, 0.143, 1.089, 0.079, 0.0]
./init-sources/watermelon_watermelon_05.png has [0.029, 0.003, 0.188, 0.548, 0.206, 0.601, 0.84, 1.841, 0.621, 0.297, 1.26, 0.892, 0.088, 0.0, 0.199, 0.315, 0.015, 0.0, 0.086, 0.481, 0.111, 1.018, 0.404, 1.655, 0.382, 0.305, 1.365, 0.981, 0.081, 0.0, 0.249, 0.444, 0.015]
./init-sources/others_leaf_04.png has [1.178, 4.482, 4.627, 7.969, 14.449, 3.311, 2.254, 3.638, 9.592, 4.516, 2.689, 12.562, 11.792, 13.929, 23.517, 27.397, 32.674, 3.432, 7.047, 5.888, 14.418, 2.475, 2.067, 5.219, 15.096, 2.942, 1.894, 12.674, 15.012, 13.286, 22.686, 37.334, 32.904]
./init-sources/others_leaf_10.png has [0.898, 27.333, 18.337, 38.591, 57.821, 6.854, 47.849, 34.676, 24.821, 10.222, 40.524, 13.389, 50.874, 186.463, 16.819, 13.696, 114.679, 30.563, 30.129, 41.336, 68.873, 16.427, 243.246, 92.941, 40.212, 36.981, 89.205, 10.751, 51.108, 206.73, 21.441, 11.387, 114.38]
./init-sources/others_leaf_12.jpeg has [0.306, 0.001, 0.487, 1.598, 0.183, 0.12, 1.363, 1.679, 0.407, 0.29, 1.378, 2.095, 0.25, 0.179, 1.607, 0.866, 0.008, 0.0, 0.065, 0.618, 0.183, 0.001, 0.439, 0.953, 0.549, 0.018, 0.676, 1.836, 0.33, 0.036, 0.727, 0.819, 0.008]
./init-sources/alstonia_alstonia_03.JPG has [0.008, 0, 0, 0, 0, 0, 38.756, 0, 122.305, 27.709, 9.603, 54.189, 92.542, 267.116, 3073.4, 0, 0, 0, 0, 0, 0, 0, 58.239, 0, 96.911, 28.4, 11.918, 38.297, 68.243, 251.0, 0, 0, 0]
./init-sources/others_leaf_01.webp has [0.236, 239.545, 4.172, 2.693, 5.611, 3.344, 2.96, 6.707, 3.437, 1.349, 2.672, 2.911, 2.089, 5.422, 2.601, 2.917, 6.965, 235.955, 2.985, 3.742, 10.295, 2.852, 4.863, 28.184, 6.61, 0.95, 3.011, 5.384, 2.376, 3.783, 1.358, 1.082, 2.531]
./init-sources/alstonia_alstonia_01.JPG has [0.008, 0, 0, 0, 0, 17.213, 16.108, 210.68, 0, 625.684, 58.019, 18.689, 23.387, 0, 0, 0, 0, 0, 0, 0, 0, 62.0, 50.882, 0, 0, 5291.0, 64.066, 19.565, 17.106, 0, 0, 0, 0]
./init-sources/guava_guava_02.JPG has [0.003, 0, 0, 0, 0, 0, 55.565, 18.837, 0, 0, 3.243, 3.992, 0, 0, 133.449, 0, 0, 0, 0, 0, 0, 0, 480.091, 13.579, 0, 0, 4.705, 1.454, 0, 0, 75.478, 0, 0]
./init-sources/guava_guava_03.JPG has [0.004, 0, 0, 1322.0, 0, 1830.846, 4.692, 2.485, 12.079, 14.714, 1.005, 1.025, 4.625, 0, 70.944, 373.927, 0, 0, 0, 0, 0, 2645.0, 3.715, 1.339, 7.932, 65.706, 1.883, 0.646, 2.608, 0, 0, 0, 0]
./init-sources/others_leaf_13.png has [0.014, 0, 8.526, 6.509, 0, 35.219, 2.665, 3.268, 9.191, 30.647, 4.388, 34.837, 58.891, 0, 81.942, 64.88, 0, 0, 5.358, 3.971, 0, 27.918, 2.029, 2.744, 5.483, 22.59, 2.919, 169.71, 63.318, 0, 83.462, 46.591, 0]
./init-sources/others_leaf_07.png has [0.629, 9.311, 3.119, 2.678, 11.33, 7.404, 3.691, 3.082, 7.706, 9.977, 3.736, 3.106, 8.341, 34.916, 3.919, 3.258, 16.415, 16.778, 15.217, 20.571, 15.547, 19.538, 26.562, 21.455, 19.094, 23.425, 33.816, 18.013, 24.706, 43.686, 18.167, 16.061, 27.734]
./init-sources/alstonia_alstonia_04.JPG has [0.004, 0, 0, 0, 0, 3968.0, 2069.783, 689.261, 1355.353, 45.694, 33.488, 65.613, 300.412, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38.395, 38.69, 71.826, 5123.0, 0, 0, 0, 0]
./init-sources/alstonia_alstonia_10.JPG has [0.006, 0, 0, 0, 0, 380.024, 310.294, 16.145, 434.057, 13.565, 20.512, 42.377, 767.6, 0, 0, 0, 0, 0, 0, 0, 0, 316.52, 1057.4, 33.364, 2195.0, 15.25, 27.299, 40.669, 903.235, 0, 0, 0, 0]
./init-sources/pomegranate_pomegranate_08.JPG has [0.001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
